epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9864.82,1.00916,2.21522,1.34415,0.86179,0.33094,0.37065,0.28954,0.7385,1.06416,1.08462,4.83273e-05,4.83273e-05,4.83273e-05
2,19451,0.8334,1.17974,1.21116,0.74372,0.44307,0.48735,0.37834,0.69625,0.79047,1.04541,9.0281e-05,9.0281e-05,9.0281e-05
3,28948.2,0.79839,0.98757,1.1862,0.63079,0.58826,0.59787,0.46247,0.66278,0.66831,1.02404,0.000125855,0.000125855,0.000125855
4,38639.5,0.77464,0.88282,1.17062,0.61043,0.63932,0.64127,0.50223,0.65487,0.6015,1.00728,0.00011629,0.00011629,0.00011629
5,49118,0.75273,0.81864,1.15244,0.69826,0.65858,0.68418,0.54361,0.63284,0.56401,0.99613,0.00010672,0.00010672,0.00010672
6,60137,0.70616,0.62495,1.0819,0.59269,0.78154,0.68987,0.55322,0.61962,0.52602,0.97858,9.715e-05,9.715e-05,9.715e-05
7,70228.3,0.68189,0.57163,1.063,0.63344,0.71018,0.67911,0.5465,0.60296,0.51104,0.96745,8.758e-05,8.758e-05,8.758e-05
8,80097.8,0.66802,0.5445,1.05285,0.58641,0.79152,0.71342,0.58111,0.59865,0.50549,0.96803,7.801e-05,7.801e-05,7.801e-05
9,89884.4,0.65665,0.51856,1.04356,0.57697,0.81654,0.70386,0.57353,0.5919,0.4995,0.96226,6.844e-05,6.844e-05,6.844e-05
10,99663.6,0.6453,0.49963,1.03383,0.61803,0.75804,0.71155,0.58038,0.59103,0.48328,0.95227,5.887e-05,5.887e-05,5.887e-05
11,109404,0.63475,0.47679,1.02534,0.59436,0.78725,0.70741,0.5787,0.58594,0.48844,0.95318,4.93e-05,4.93e-05,4.93e-05
12,119142,0.62596,0.46502,1.02001,0.60147,0.79059,0.71439,0.58583,0.58515,0.47348,0.94919,3.973e-05,3.973e-05,3.973e-05
13,128998,0.62041,0.45384,1.01392,0.5975,0.82369,0.71486,0.58787,0.58041,0.477,0.94764,3.016e-05,3.016e-05,3.016e-05
14,139182,0.60973,0.43652,1.00613,0.62879,0.81711,0.72641,0.60205,0.57076,0.46329,0.94334,2.059e-05,2.059e-05,2.059e-05
15,150229,0.60497,0.42907,1.00229,0.61298,0.81229,0.7217,0.59881,0.57014,0.466,0.94236,1.102e-05,1.102e-05,1.102e-05
